t=0 | A=0 B=0 C=0 D=0 | F=0
t=5 | A=0 B=0 C=0 D=1 | F=1
t=10 | A=0 B=0 C=1 D=0 | F=0
t=15 | A=0 B=0 C=1 D=1 | F=0
t=20 | A=0 B=1 C=0 D=0 | F=0
t=25 | A=0 B=1 C=0 D=1 | F=1
t=30 | A=0 B=1 C=1 D=0 | F=0
t=35 | A=0 B=1 C=1 D=1 | F=0
t=40 | A=1 B=0 C=0 D=0 | F=0
t=45 | A=1 B=0 C=0 D=1 | F=1
t=50 | A=1 B=0 C=1 D=0 | F=0
t=55 | A=1 B=0 C=1 D=1 | F=0
t=60 | A=1 B=1 C=0 D=0 | F=1
t=65 | A=1 B=1 C=0 D=1 | F=1
t=70 | A=1 B=1 C=1 D=0 | F=1
t=75 | A=1 B=1 C=1 D=1 | F=1
testbench.sv:14: $finish called at 80 (1s)
t=80 | A=0 B=0 C=0 D=0 | F=0
