A=0000 B=0000 | Sum=0000 Cout=0 | Diff=0000 Bout=1
A=0000 B=0001 | Sum=0001 Cout=0 | Diff=1111 Bout=0
A=0000 B=0010 | Sum=0010 Cout=0 | Diff=1110 Bout=0
A=0000 B=0011 | Sum=0011 Cout=0 | Diff=1101 Bout=0
A=0000 B=0100 | Sum=0100 Cout=0 | Diff=1100 Bout=0
A=0000 B=0101 | Sum=0101 Cout=0 | Diff=1011 Bout=0
A=0000 B=0110 | Sum=0110 Cout=0 | Diff=1010 Bout=0
A=0000 B=0111 | Sum=0111 Cout=0 | Diff=1001 Bout=0
A=0000 B=1000 | Sum=1000 Cout=0 | Diff=1000 Bout=0
A=0000 B=1001 | Sum=1001 Cout=0 | Diff=0111 Bout=0
A=0000 B=1010 | Sum=1010 Cout=0 | Diff=0110 Bout=0
A=0000 B=1011 | Sum=1011 Cout=0 | Diff=0101 Bout=0
A=0000 B=1100 | Sum=1100 Cout=0 | Diff=0100 Bout=0
A=0000 B=1101 | Sum=1101 Cout=0 | Diff=0011 Bout=0
A=0000 B=1110 | Sum=1110 Cout=0 | Diff=0010 Bout=0
A=0000 B=1111 | Sum=1111 Cout=0 | Diff=0001 Bout=0
A=0001 B=0000 | Sum=0001 Cout=0 | Diff=0001 Bout=1
A=0001 B=0001 | Sum=0010 Cout=0 | Diff=0000 Bout=1
A=0001 B=0010 | Sum=0011 Cout=0 | Diff=1111 Bout=0
A=0001 B=0011 | Sum=0100 Cout=0 | Diff=1110 Bout=0
A=0001 B=0100 | Sum=0101 Cout=0 | Diff=1101 Bout=0
A=0001 B=0101 | Sum=0110 Cout=0 | Diff=1100 Bout=0
A=0001 B=0110 | Sum=0111 Cout=0 | Diff=1011 Bout=0
A=0001 B=0111 | Sum=1000 Cout=0 | Diff=1010 Bout=0
A=0001 B=1000 | Sum=1001 Cout=0 | Diff=1001 Bout=0
A=0001 B=1001 | Sum=1010 Cout=0 | Diff=1000 Bout=0
A=0001 B=1010 | Sum=1011 Cout=0 | Diff=0111 Bout=0
A=0001 B=1011 | Sum=1100 Cout=0 | Diff=0110 Bout=0
A=0001 B=1100 | Sum=1101 Cout=0 | Diff=0101 Bout=0
A=0001 B=1101 | Sum=1110 Cout=0 | Diff=0100 Bout=0
A=0001 B=1110 | Sum=1111 Cout=0 | Diff=0011 Bout=0
A=0001 B=1111 | Sum=0000 Cout=1 | Diff=0010 Bout=0
A=0010 B=0000 | Sum=0010 Cout=0 | Diff=0010 Bout=1
A=0010 B=0001 | Sum=0011 Cout=0 | Diff=0001 Bout=1
A=0010 B=0010 | Sum=0100 Cout=0 | Diff=0000 Bout=1
A=0010 B=0011 | Sum=0101 Cout=0 | Diff=1111 Bout=0
A=0010 B=0100 | Sum=0110 Cout=0 | Diff=1110 Bout=0
A=0010 B=0101 | Sum=0111 Cout=0 | Diff=1101 Bout=0
A=0010 B=0110 | Sum=1000 Cout=0 | Diff=1100 Bout=0
A=0010 B=0111 | Sum=1001 Cout=0 | Diff=1011 Bout=0
