---- Testing SR Flip-Flop ----
time | S R | Q_sr
t=10000 | 1 0 | 0
t=15000 | 1 0 | 1
t=20000 | 0 1 | 1
t=25000 | 0 1 | 0
t=30000 | 0 0 | 0
t=40000 | 1 1 | 0
t=45000 | 1 1 | x

---- Testing JK Flip-Flop ----
time | J K | Q_jk
t=50000 | 1 0 | 0
t=55000 | 1 0 | 1
t=60000 | 0 1 | 1
t=65000 | 0 1 | 0
t=70000 | 0 0 | 0
t=80000 | 1 1 | 0
t=85000 | 1 1 | 1
t=95000 | 1 1 | 0

---- Testing D Flip-Flop ----
time | D | Q_d
t=100000 | 1 | 0
t=105000 | 1 | 1
t=110000 | 0 | 1
t=115000 | 0 | 0
t=120000 | 1 | 0
t=125000 | 1 | 1
